model_id,downloads (past month),quantization,num_ops,ops
AdamCodd/vit-base-nsfw-detector,1242939,fp16,23,"Add, Cast, Concat, Conv, Div, Equal, Erf, Expand, Gather, Gemm, MatMul, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze, Where"
AdamCodd/vit-base-nsfw-detector,1242939,bnb4,23,"Add, Concat, Conv, Div, Equal, Erf, Expand, Gather, Gemm, MatMul, MatMulBnb4, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze, Where"
hf-internal-testing/tiny-random-OPTForCausalLM,998114,fp32,30,"Add, Cast, Concat, Constant, ConstantOfShape, CumSum, Div, Equal, Expand, Gather, Gemm, Identity, Less, MatMul, Max, Mul, Pow, Range, ReduceMean, Relu, Reshape, Shape, Slice, Softmax, Sqrt, Squeeze, Sub, Transpose, Unsqueeze, Where"
Alibaba-NLP/gte-large-en-v1.5,910285,uint8,28,"Add, Cast, Concat, Constant, ConstantOfShape, DequantizeLinear, Div, DynamicQuantizeLinear, Equal, Erf, Expand, Gather, MatMul, MatMulInteger, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Sub, Transpose, Unsqueeze, Where"
Alibaba-NLP/gte-large-en-v1.5,910285,quantized,28,"Add, Cast, Concat, Constant, ConstantOfShape, DequantizeLinear, Div, DynamicQuantizeLinear, Equal, Erf, Expand, Gather, MatMul, MatMulInteger, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Sub, Transpose, Unsqueeze, Where"
Alibaba-NLP/gte-large-en-v1.5,910285,q4,26,"Add, Cast, Concat, Constant, ConstantOfShape, Div, Equal, Erf, Expand, Gather, MatMul, MatMulNBits, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Sub, Transpose, Unsqueeze, Where"
Alibaba-NLP/gte-large-en-v1.5,910285,int8,28,"Add, Cast, Concat, Constant, ConstantOfShape, DequantizeLinear, Div, DynamicQuantizeLinear, Equal, Erf, Expand, Gather, MatMul, MatMulInteger, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Sub, Transpose, Unsqueeze, Where"
Alibaba-NLP/gte-large-en-v1.5,910285,fp32,25,"Add, Cast, Concat, Constant, ConstantOfShape, Div, Equal, Erf, Expand, Gather, MatMul, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Sub, Transpose, Unsqueeze, Where"
Alibaba-NLP/gte-large-en-v1.5,910285,fp16,25,"Add, Cast, Concat, Constant, ConstantOfShape, Div, Equal, Erf, Expand, Gather, MatMul, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Sub, Transpose, Unsqueeze, Where"
Alibaba-NLP/gte-large-en-v1.5,910285,bnb4,26,"Add, Cast, Concat, Constant, ConstantOfShape, Div, Equal, Erf, Expand, Gather, MatMul, MatMulBnb4, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Sub, Transpose, Unsqueeze, Where"
Xenova/bge-base-en-v1.5,853583,uint8,21,"Add, Cast, Concat, DequantizeLinear, Div, DynamicQuantizeLinear, Erf, Gather, MatMul, MatMulInteger, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
Xenova/bge-base-en-v1.5,853583,quantized,22,"Add, Cast, Concat, Constant, DequantizeLinear, Div, DynamicQuantizeLinear, Erf, Gather, MatMul, MatMulInteger, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
Xenova/bge-base-en-v1.5,853583,q4f16,19,"Add, Cast, Concat, Div, Erf, Gather, MatMul, MatMulNBits, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
Xenova/bge-base-en-v1.5,853583,q4,19,"Add, Cast, Concat, Div, Erf, Gather, MatMul, MatMulNBits, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
Xenova/bge-base-en-v1.5,853583,int8,21,"Add, Cast, Concat, DequantizeLinear, Div, DynamicQuantizeLinear, Erf, Gather, MatMul, MatMulInteger, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
Xenova/bge-base-en-v1.5,853583,fp32,19,"Add, Cast, Concat, Constant, Div, Erf, Gather, MatMul, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
Xenova/bge-base-en-v1.5,853583,fp16,19,"Add, Cast, Concat, Constant, Div, Erf, Gather, MatMul, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
Xenova/bge-base-en-v1.5,853583,bnb4,19,"Add, Cast, Concat, Div, Erf, Gather, MatMul, MatMulBnb4, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
HuggingFaceTB/SmolLM2-360M-Instruct,850482,uint8,16,"Cast, DequantizeLinear, DynamicQuantizeLinear, Gather, GroupQueryAttention, MatMul, MatMulInteger, Mul, ReduceSum, RotaryEmbedding, Shape, Sigmoid, SimplifiedLayerNormalization, SkipSimplifiedLayerNormalization, Sub, Transpose"
HuggingFaceTB/SmolLM2-360M-Instruct,850482,quantized,16,"Cast, DequantizeLinear, DynamicQuantizeLinear, Gather, GroupQueryAttention, MatMul, MatMulInteger, Mul, ReduceSum, RotaryEmbedding, Shape, Sigmoid, SimplifiedLayerNormalization, SkipSimplifiedLayerNormalization, Sub, Transpose"
HuggingFaceTB/SmolLM2-360M-Instruct,850482,q4f16,14,"Cast, Gather, GroupQueryAttention, MatMul, MatMulNBits, Mul, ReduceSum, RotaryEmbedding, Shape, Sigmoid, SimplifiedLayerNormalization, SkipSimplifiedLayerNormalization, Sub, Transpose"
